fid,data_id,iso,event_id_c,event_id_n,event_date,year,time_preci,event_type,sub_event_,actor1,assoc_acto,inter1,interactio,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precis,source,source_sca,notes,fatalities,timestamp,iso3,field_29,field_30,field_31,fid_2,OBJECTID,REGION_2,LREGION,SHAPE_Leng,SHAPE_Area,Secteur,Statut,Nø,Secteur_1,Groupe1,Groupe2,Groupe3,Groupe4,Analyse,icon_url
"11","8013330","466",MLI4680,"4680",29-Dec-20,"2020","1",Explosions/Remote violence,Grenade,Civilians (Mali),,"7","37",Western Africa,Mali,Mopti,Koro,Koro,Koro,14.0778,-3.0832,"1","Koro Kibaru; Le Pays Dogon; AMAP;New media-Subnational",New media-Subnational,"On 29 December 2020, two people were killed and one severely wounded by the explosion of a grenade in Koro (Koro, Mopti). The exact circumstances remain unclear, the event was interchangeably reported as an accident and dispute.","2","1622068037",MLI,,,,"1","5","05",Mopti,16.36364056,6.64380201566,Secteur IV,"2",,SecteurIV,Donso Dana Amassagou,,,,Donso Dana Amassagou,./0.png
"12","8358286","466",MLI4677,"4677",29-Dec-20,"2020","1",Battles,Armed clash,Military Forces of Mali (2020-2021),,"1","12",Western Africa,Mali,Mopti,Douentza,Dangol Bore,Batouma,14.9961,-3.614,"1","aBamako; Whatsapp; FAMAMali; Menastream; Xinhua; Kibaru; AMAP;Local partner-New media",Local partner-New media,"On 29 December 2020, presumed Katiba Macina (JNIM) militants ambushed a National Guard bank escort convoy in Batouma (Douentza, Mopti). 2 soldiers were killed and 16 wounded including 5 severely.","2","1624927676",MLI,,,,"1","5","05",Mopti,16.36364056,6.64380201566,Secteur IV,"2",,SecteurIV,Donso Dana Amassagou,,,,Donso Dana Amassagou,./0.png
"13","7453933","466",MLI4676,"4676",28-Dec-20,"2020","1",Battles,Armed clash,Unidentified Armed Group (Mali),,"3","23",Western Africa,Mali,Gao,Gao,Gao,Gao,16.2717,-0.0447,"1","Whatsapp; Gao Infos;New media",New media,"On 28 December 2020, unknown gunmen attacked the house of a MAA-CMA officer in Gao (Gao, Gao). One of the officer's daughters was killed in the crossfire and another wounded.","1","1610409621",MLI,,,,"1","7","07",Gao,14.5232435912,8.5741406499,Secteur I,"5",,SecteurI,ANROUL Islamique,Groupe Signaeur,ZNIM,EIGS,"ANROUL Islamique,Groupe Signaeur,ZNIM,EIGS",./2.png
"14","8013349","466",MLI4674,"4674",28-Dec-20,"2020","1",Protests,Peaceful protest,Protesters (Mali),,"6","60",Western Africa,Mali,Mopti,Douentza,Douentza,Douentza,14.9951,-2.9517,"1","Le Pays Dogon; Studio Tamani;Subnational",Subnational,"On 28 December 2020, a number of residents staged a demonstration in Douentza (Douentza, Mopti). The demonstrators denounced insecurity and expressed support for the Malian Armed Forces and the Dana Ambassagou militia amid allegations in a United Nations","0","1622068037",MLI,,,,"1","5","05",Mopti,16.36364056,6.64380201566,Secteur IV,"2",,SecteurIV,Donso Dana Amassagou,,,,Donso Dana Amassagou,./0.png
"15","8013350","466",MLI4675,"4675",28-Dec-20,"2020","1",Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of France (2017-),,"8","28",Western Africa,Mali,Mopti,Douentza,Hombori,Galou,15.2563,-1.6107,"2","Menastream; RFI; Studio Tamani; Nord Sud Journal; Reuters; Al Zallaqa; aBamako;Local partner-New media",Local partner-New media,"On 28 December 2020, three French soldiers were killed by an IED explosion in the area of Galou (Douentza, Mopti). JNIM claimed responsibility.","3","1622068037",MLI,,,,"1","5","05",Mopti,16.36364056,6.64380201566,Secteur IV,"2",,SecteurIV,Donso Dana Amassagou,,,,Donso Dana Amassagou,./0.png
"16","8013374","466",MLI4670,"4670",27-Dec-20,"2020","1",Protests,Peaceful protest,Protesters (Mali),"Dozo Communal Group (Mali); Women (Mali)","6","60",Western Africa,Mali,Mopti,Djenne,Fakala,Bonguel,14.08,-4.136,"1",Pinal (Mali),New media,"On 27 December 2020, a number of residents, mostly women, demonstrated in Bonguel (Djenne, Mopti). The demonstrators blocked the main road and prevented traffic access. The demonstration came in reaction to a military operation to recover stolen livestoc","0","1622068037",MLI,,,,"1","5","05",Mopti,16.36364056,6.64380201566,Secteur IV,"2",,SecteurIV,Donso Dana Amassagou,,,,Donso Dana Amassagou,./0.png
"17","8358283","466",MLI4669,"4669",27-Dec-20,"2020","1",Battles,Armed clash,Military Forces of Mali (2020-2021),,"1","14",Western Africa,Mali,Mopti,Djenne,Fakala,Bonguel,14.08,-4.136,"2","AMAP; FAMAMali;National",National,"On 27 December 2020, the Malian army clashed with Dozo militiamen near Bonguel (Djenne, Mopti). One Dozo militiaman was killed, one wounded, one motorbike seized. Livestock previously stolen by the Dozos in the village of Dakadjan were recovered.","1","1624927676",MLI,,,,"1","5","05",Mopti,16.36364056,6.64380201566,Secteur IV,"2",,SecteurIV,Donso Dana Amassagou,,,,Donso Dana Amassagou,./0.png
"18","8358283","466",MLI4669,"4669",27-Dec-20,"2020","1",Battles,Armed clash,Dozo Communal Militia (Mali),,"4","14",Western Africa,Mali,Mopti,Djenne,Fakala,Bonguel,14.08,-4.136,"2","AMAP; FAMAMali;National",National,"On 27 December 2020, the Malian army clashed with Dozo militiamen near Bonguel (Djenne, Mopti). One Dozo militiaman was killed, one wounded, one motorbike seized. Livestock previously stolen by the Dozos in the village of Dakadjan were recovered.","1","1624927676",MLI,,,,"1","5","05",Mopti,16.36364056,6.64380201566,Secteur IV,"2",,SecteurIV,Donso Dana Amassagou,,,,Donso Dana Amassagou,./0.png
"19","8358284","466",MLI4672,"4672",27-Dec-20,"2020","1",Battles,Armed clash,Military Forces of Mali (2020-2021),,"1","13",Western Africa,Mali,Mopti,Koro,Koro,Edioubara,13.9973,-3.0727,"2","AMAP; FAMAMali; Studio Tamani;Subnational-National",Subnational-National,"On 27 December 2020, a Malian army patrol killed two gunmen, described as armed bandits, between Edioubara and Ogodourou (Koro, Mopti). Four other gunmen were reportedly ''neutralized'' and 1 AK rifle seized. The Malian army had launched a pursuit after","2","1624927676",MLI,,,,"1","5","05",Mopti,16.36364056,6.64380201566,Secteur IV,"2",,SecteurIV,Donso Dana Amassagou,,,,Donso Dana Amassagou,./0.png
"20","8358284","466",MLI4672,"4672",27-Dec-20,"2020","1",Battles,Armed clash,Unidentified Armed Group (Mali),,"3","13",Western Africa,Mali,Mopti,Koro,Koro,Edioubara,13.9973,-3.0727,"2","AMAP; FAMAMali; Studio Tamani;Subnational-National",Subnational-National,"On 27 December 2020, a Malian army patrol killed two gunmen, described as armed bandits, between Edioubara and Ogodourou (Koro, Mopti). Four other gunmen were reportedly ''neutralized'' and 1 AK rifle seized. The Malian army had launched a pursuit after","2","1624927676",MLI,,,,"1","5","05",Mopti,16.36364056,6.64380201566,Secteur IV,"2",,SecteurIV,Donso Dana Amassagou,,,,Donso Dana Amassagou,./0.png
"21","8358285","466",MLI4673,"4673",27-Dec-20,"2020","1",Battles,Armed clash,Military Forces of France (2017-),Military Forces of Mali (2020-2021),"8","38",Western Africa,Mali,Mopti,Douentza,Hombori,Tara,15.2536,-1.5563,"2","FAMAMali; Azawad News;New media-National",New media-National,"On 27 December 2020, a joint Barkhane and Malian army patrol exchanged gunfire with suspected militants in or near Tara (Douentza, Mopti). The patrol arrested 5 individuals and seized motorbikes, fuel, and cell phones. No casualties were reported.","0","1624927676",MLI,,,,"1","5","05",Mopti,16.36364056,6.64380201566,Secteur IV,"2",,SecteurIV,Donso Dana Amassagou,,,,Donso Dana Amassagou,./0.png
"22","8358285","466",MLI4673,"4673",27-Dec-20,"2020","1",Battles,Armed clash,Unidentified Armed Group (Mali),,"3","38",Western Africa,Mali,Mopti,Douentza,Hombori,Tara,15.2536,-1.5563,"2","FAMAMali; Azawad News;New media-National",New media-National,"On 27 December 2020, a joint Barkhane and Malian army patrol exchanged gunfire with suspected militants in or near Tara (Douentza, Mopti). The patrol arrested 5 individuals and seized motorbikes, fuel, and cell phones. No casualties were reported.","0","1624927676",MLI,,,,"1","5","05",Mopti,16.36364056,6.64380201566,Secteur IV,"2",,SecteurIV,Donso Dana Amassagou,,,,Donso Dana Amassagou,./0.png
"23","8013404","466",MLI4667,"4667",25-Dec-20,"2020","1",Violence against civilians,Attack,Dozo Communal Militia (Mali),,"4","47",Western Africa,Mali,Mopti,Djenne,Fakala,Abdoulkarim,14.1005,-4.1698,"1",Pinal (Mali),New media,"On 25 December 2020, Dozo militiamen attacked the village of Abdoulkarim (Djenne, Mopti). 6 people were killed and 1 abducted.","6","1622068037",MLI,,,,"1","5","05",Mopti,16.36364056,6.64380201566,Secteur IV,"2",,SecteurIV,Donso Dana Amassagou,,,,Donso Dana Amassagou,./0.png
"24","8013404","466",MLI4667,"4667",25-Dec-20,"2020","1",Violence against civilians,Attack,Civilians (Mali),,"7","47",Western Africa,Mali,Mopti,Djenne,Fakala,Abdoulkarim,14.1005,-4.1698,"1",Pinal (Mali),New media,"On 25 December 2020, Dozo militiamen attacked the village of Abdoulkarim (Djenne, Mopti). 6 people were killed and 1 abducted.","6","1622068037",MLI,,,,"1","5","05",Mopti,16.36364056,6.64380201566,Secteur IV,"2",,SecteurIV,Donso Dana Amassagou,,,,Donso Dana Amassagou,./0.png
"25","8013405","466",MLI4668,"4668",25-Dec-20,"2020","1",Violence against civilians,Abduction/forced disappearance,Civilians (Mali),,"7","27",Western Africa,Mali,Mopti,Mopti,Ouro Modi,Ouro Modi,14.2807,-4.6037,"1",Pinal (Mali),New media,"On 25 December 2020, presumed Katiba Macina (JNIM) militants abducted three people for not paying zakat tax in Ouro Modi (Mopti, Mopti).","0","1622068037",MLI,,,,"1","5","05",Mopti,16.36364056,6.64380201566,Secteur IV,"2",,SecteurIV,Donso Dana Amassagou,,,,Donso Dana Amassagou,./0.png
"26","8013426","466",MLI4665,"4665",24-Dec-20,"2020","1",Strategic developments,Looting/property destruction,Islamic State (West Africa) - Greater Sahara Faction,,"2","27",Western Africa,Mali,Gao,Ansongo,Tin Hama,Agermam,15.7286,1.3723,"2",Azawad News,New media,Looting,"On 24 December 2020, ISGS militants reportedly made an incursion into the village of Agermam (Ansongo, Gao), and nearby In-Dersan [exact location unknown]. The militants seized livestock and other belongings.","0","1622068037",MLI,,,"1","7","07",Gao,14.5232435912,8.5741406499,Secteur I,"5",,SecteurI,ANROUL Islamique,Groupe Signaeur,ZNIM,EIGS,"ANROUL Islamique,Groupe Signaeur,ZNIM,EIGS",./2.png
"27","8013426","466",MLI4665,"4665",24-Dec-20,"2020","1",Strategic developments,Looting/property destruction,Civilians (Mali),,"7","27",Western Africa,Mali,Gao,Ansongo,Tin Hama,Agermam,15.7286,1.3723,"2",Azawad News,New media,Looting,"On 24 December 2020, ISGS militants reportedly made an incursion into the village of Agermam (Ansongo, Gao), and nearby In-Dersan [exact location unknown]. The militants seized livestock and other belongings.","0","1622068037",MLI,,,"1","7","07",Gao,14.5232435912,8.5741406499,Secteur I,"5",,SecteurI,ANROUL Islamique,Groupe Signaeur,ZNIM,EIGS,"ANROUL Islamique,Groupe Signaeur,ZNIM,EIGS",./2.png
"28","8358282","466",MLI4666,"4666",24-Dec-20,"2020","1",Battles,Armed clash,Military Forces of Mali (2020-2021),,"1","12",Western Africa,Mali,Mopti,Koro,Dinangourou,Feto-Nelbi,14.53,-2.1717,"2","Mali Jet; AMAP; FAMAMali; Koro Kibaru;New media-National",New media-National,"On 24 December 2020, suspected JNIM militants ambushed a Malian army convoy escorting civilians in the area of Feto-Nelbi (Koro, Mopti), between Mondoro and Dinangourou. The soldiers routed the militants. Around 10 militants were reportedly killed and 7","10","1624927676",MLI,,,,"1","5","05",Mopti,16.36364056,6.64380201566,Secteur IV,"2",,SecteurIV,Donso Dana Amassagou,,,,Donso Dana Amassagou,./0.png
"29","8013460","466",MLI4664,"4664",22-Dec-20,"2020","1",Battles,Armed clash,Islamic State (West Africa) - Greater Sahara Faction,,"2","23",Western Africa,Mali,Menaka,Anderamboukane,Anderamboukane,Tadayne,15.469,2.9665,"1","Studio Tamani; Azawad News; MSA Azawad;New media-National",New media-National,"On 22 December 2020, presumed ISGS militants aboard motorbikes killed a GATIA (Plateforme) officer in Tadayne (Menaka, Menaka).","1","1622068037",MLI,,,,"1","7","07",Gao,14.5232435912,8.5741406499,Secteur I,"5",,SecteurI,ANROUL Islamique,Groupe Signaeur,ZNIM,EIGS,"ANROUL Islamique,Groupe Signaeur,ZNIM,EIGS",./2.png
"30","8013464","466",MLI4662,"4662",22-Dec-20,"2020","1",Violence against civilians,Attack,Unidentified Armed Group (Mali),,"3","37",Western Africa,Mali,Segou,Niono,Yeredon Saniona,Coura N8,14.3412,-5.9012,"1",Twitter,New media,"On 22 December 2020, unknown gunmen opened fire against the village Coura N8 (Niono, Segou). No casualties were reported.","0","1622068037",MLI,,,,"1","4","04",Segou,15.1998115552,5.15880567377,Secteur V,"1",,SecteurV,Autres groupes auto defense,,,,Autres groupes auto defense,./1.png
"31","8013464","466",MLI4662,"4662",22-Dec-20,"2020","1",Violence against civilians,Attack,Civilians (Mali),,"7","37",Western Africa,Mali,Segou,Niono,Yeredon Saniona,Coura N8,14.3412,-5.9012,"1",Twitter,New media,"On 22 December 2020, unknown gunmen opened fire against the village Coura N8 (Niono, Segou). No casualties were reported.","0","1622068037",MLI,,,,"1","4","04",Segou,15.1998115552,5.15880567377,Secteur V,"1",,SecteurV,Autres groupes auto defense,,,,Autres groupes auto defense,./1.png
"32","8013473","466",MLI4663,"4663",22-Dec-20,"2020","1",Explosions/Remote violence,Remote explosive/landmine/IED,Civilians (Mali),,"7","27",Western Africa,Mali,Segou,Macina,Kokry Centre,Segou Coura,13.9837,-5.5113,"2","Whatsapp; Twitter;New media",New media,"On 22 December 2020, two people were killed and five wounded in a landmine explosion near K3 Segou Coura (Niono, Segou). The landmine was likely planted by Katiba Macina (JNIM) militants.","2","1622068037",MLI,,,,"1","4","04",Segou,15.1998115552,5.15880567377,Secteur V,"1",,SecteurV,Autres groupes auto defense,,,,Autres groupes auto defense,./1.png
"33","8013487","466",MLI4661,"4661",21-Dec-20,"2020","1",Protests,Peaceful protest,Protesters (Mali),,"6","60",Western Africa,Mali,Mopti,Bandiagara,Bandiagara,Bandiagara,14.3493,-3.6102,"1","Mali Jet; Le Pays Dogon; Whatsapp; Mali Actu;New media-Subnational",New media-Subnational,"On 21 December 2020, a large number of people demonstrated in Bandiagara (Bandiagara, Mopti). The demonstrators demanded the return of state forces to the area and the departure of MINUSMA peacekeepers. [size=large]","0","1622068037",MLI,,,,"1","5","05",Mopti,16.36364056,6.64380201566,Secteur IV,"2",,SecteurIV,Donso Dana Amassagou,,,,Donso Dana Amassagou,./0.png
"34","8013505","466",MLI4659,"4659",20-Dec-20,"2020","1",Protests,Peaceful protest,Protesters (Mali),,"6","60",Western Africa,Mali,Mopti,Bandiagara,Bandiagara,Bandiagara,14.3493,-3.6102,"1","Twitter; Koro Kibaru; Whatsapp;New media",New media,"On 20 December 2020, a number of residents demonstrated against MINUSMA in Bandiagara (Bandiagara, Mopti). The demonstrators blocked the road and prevented MINUSMA access. [size=no report]","0","1622068037",MLI,,,,"1","5","05",Mopti,16.36364056,6.64380201566,Secteur IV,"2",,SecteurIV,Donso Dana Amassagou,,,,Donso Dana Amassagou,./0.png
"35","8386908","466",MLI4660,"4660",20-Dec-20,"2020","1",Battles,Armed clash,Unidentified Armed Group (Mali),,"3","13",Western Africa,Mali,Sikasso,Koutiala,Zangasso,Zangasso,12.1583,-5.6202,"1","Koutiala Observateur Infos; Nouvel Horizon; Twitter;New media-National",New media-National,"On 20 December 2020, unknown gunmen attacked a toll booth manned by the police in Zangasso (Koutiala, Sikasso). The policemen reportedly fled. No casualties were reported.","0","1626735454",MLI,,,,"1","3","03",Sikasso,22.5531465279,5.9738763264,SecteurHors Theatre,"0",,SecteurHors Theatre,Hors Theatre,,,,Hors Theatre,./3.png
"36","8386908","466",MLI4660,"4660",20-Dec-20,"2020","1",Battles,Armed clash,Police Forces of Mali (2020-2021),,"1","13",Western Africa,Mali,Sikasso,Koutiala,Zangasso,Zangasso,12.1583,-5.6202,"1","Koutiala Observateur Infos; Nouvel Horizon; Twitter;New media-National",New media-National,"On 20 December 2020, unknown gunmen attacked a toll booth manned by the police in Zangasso (Koutiala, Sikasso). The policemen reportedly fled. No casualties were reported.","0","1626735454",MLI,,,,"1","3","03",Sikasso,22.5531465279,5.9738763264,SecteurHors Theatre,"0",,SecteurHors Theatre,Hors Theatre,,,,Hors Theatre,./3.png
"37","8013516","466",MLI4658,"4658",19-Dec-20,"2020","1",Explosions/Remote violence,Air/drone strike,Military Forces of France (2017-),,"8","28",Western Africa,Mali,Mopti,Douentza,Haire,Serma,14.86,-2.2642,"2",Armee Francaise,International,"On 19 December 2020, French forces conducted a drone strike against suspected Katiba Serma (JNIM) militants in the forest of Serma (Douentza, Mopti). Several militants were ''neutralized'' and their motorbikes destroyed. Unknown fatalities assessed as lo","3","1622068037",MLI,,,,"1","5","05",Mopti,16.36364056,6.64380201566,Secteur IV,"2",,SecteurIV,Donso Dana Amassagou,,,,Donso Dana Amassagou,./0.png
"38","8013538","466",MLI4657,"4657",18-Dec-20,"2020","1",Battles,Armed clash,Islamic State (West Africa) - Greater Sahara Faction,,"2","22",Western Africa,Mali,Tombouctou,Gourma-Rharous,Gossi,NDaki,15.3584,-0.9241,"1",Whatsapp,New media,"On 18 December 2020, JNIM and ISGS militants reportedly clashed in NDaki (Gourma-Rharous, Tombouctou). JNIM allegedly routed ISGS as per local sources. Casualties unknown.","0","1622068037",MLI,,,,"1","6","06",Tombouctou,34.3403284536,17.7860256744,Secteur III,"3",,SecteurIII,EIGS,,,,EIGS,./4.png
"39","8013565","466",MLI4651,"4651",17-Dec-20,"2020","1",Protests,Peaceful protest,Protesters (Mali),,"6","60",Western Africa,Mali,Gao,Ansongo,Ansongo,Ansongo,15.6597,0.5022,"1","Essor; Twitter; AMAP;New media-National",New media-National,"On 17 December 2020, a number of people staged a demonstration march in the town of Ansongo (Ansongo, Gao). The demonstrators denounced the security situation characterized by frequent murders, abductions, cattle theft, and armed robberies. [size=no repo","0","1622068037",MLI,,,,"1","7","07",Gao,14.5232435912,8.5741406499,Secteur I,"5",,SecteurI,ANROUL Islamique,Groupe Signaeur,ZNIM,EIGS,"ANROUL Islamique,Groupe Signaeur,ZNIM,EIGS",./2.png
"40","8013566","466",MLI4652,"4652",17-Dec-20,"2020","1",Protests,Peaceful protest,Protesters (Mali),,"6","60",Western Africa,Mali,Mopti,Koro,Kassa,Berdossou,14.7354,-3.0544,"1","Koro Kibaru; Mikado FM; Twitter; Mali Jet;New media-National",New media-National,"On 17 December 2020, a number of people demonstrated against MINUSMA in the village of Berdossou (Koro, Mopti). The demonstration came amid false information circulating on social media which said that MINUSMA had air-dropped unknown gunmen into the area","0","1622068037",MLI,,,,"1","5","05",Mopti,16.36364056,6.64380201566,Secteur IV,"2",,SecteurIV,Donso Dana Amassagou,,,,Donso Dana Amassagou,./0.png
"41","8013567","466",MLI4653,"4653",17-Dec-20,"2020","1",Violence against civilians,Attack,Civilians (Mali),"Bambara Ethnic Group (Mali); Farmers (Mali)","7","27",Western Africa,Mali,Segou,Niono,Yeredon Saniona,Coura N8,14.3412,-5.9012,"1",Twitter,New media,"On 17 December 2020, presumed Katiba Macina (JNIM) militants reportedly killed 9 Bambara farmers in Coura N8 (Niono, Segou).","9","1622068037",MLI,,,,"1","4","04",Segou,15.1998115552,5.15880567377,Secteur V,"1",,SecteurV,Autres groupes auto defense,,,,Autres groupes auto defense,./1.png
"42","8013568","466",MLI4654,"4654",17-Dec-20,"2020","1",Protests,Peaceful protest,Protesters (Mali),,"6","60",Western Africa,Mali,Mopti,Douentza,Dianwely,Dianveli,14.8742,-2.9175,"1","Mikado FM; Koro Kibaru; Mali Jet; Twitter;New media-National",New media-National,"On 17 December 2020, a number of people demonstrated against MINUSMA in the village of Dianveli (Douentza, Mopti). The demonstration came amid false information circulating on social media which said that MINUSMA had air-dropped unknown gunmen into the a","0","1622068037",MLI,,,,"1","5","05",Mopti,16.36364056,6.64380201566,Secteur IV,"2",,SecteurIV,Donso Dana Amassagou,,,,Donso Dana Amassagou,./0.png
"43","8013569","466",MLI4655,"4655",17-Dec-20,"2020","2",Violence against civilians,Attack,Dozo Communal Militia (Mali),,"4","47",Western Africa,Mali,Segou,Niono,Pogo,Mbewani,13.9241,-6.0448,"2","Pinal (Mali); Segou Infos;New media-National",New media-National,"Around 17 December 2020 (week of), Donso militiamen killed a member of the Fulani community near Mbewani (Niono, Segou).","1","1622068037",MLI,,,,"1","4","04",Segou,15.1998115552,5.15880567377,Secteur V,"1",,SecteurV,Autres groupes auto defense,,,,Autres groupes auto defense,./1.png
"44","8013569","466",MLI4655,"4655",17-Dec-20,"2020","2",Violence against civilians,Attack,Civilians (Mali),"Fulani Ethnic Group (Mali); Pastoralists (Mali)","7","47",Western Africa,Mali,Segou,Niono,Pogo,Mbewani,13.9241,-6.0448,"2",Pinal (Mali),New media-National,"Around 17 December 2020 (week of), Donso militiamen killed a member of the Fulani community near Mbewani (Niono, Segou).","1","1622068037",MLI,,,,"1","4","04",Segou,15.1998115552,5.15880567377,Secteur V,"1",,SecteurV,Autres groupes auto defense,,,,Autres groupes auto defense,./1.png
